Name;Kinds;Description;Source
SGW!{projectsView,projectView};Interface, <<generated_interface>>;enter description here;pdProjectManagement;
SG!{addingProject,editingProject,deletingProject,getProjects,getProject};Interface, <<generated_interface>>;enter description here;SG_env;
deleteImages;Phenomenon, <<Phenomenon>>;enter description here;SG_env;
messages;Phenomenon, <<Phenomenon>>;enter description here;SG_env;
SGP!{addingProject,editingProject,deletingProject,getProjects,getProject};Interface, <<generated_interface>>;enter description here;pdProjectManagement;
Sponsor;Class, <<LexicalDomain>>;enter description here;SG_env;
eventsImage;Phenomenon, <<Phenomenon>>;enter description here;SG_env;
SG!{addingExecutive,editingExecutive,deletingExecutive,getCurrent,getPast}Ex!{executive};Association, <<connection>>;enter description here;SG_env;
editProject;Phenomenon, <<Phenomenon>>;enter description here;SG_env, pdProjectManagement;
A!{addEvent,EditEvent,deleteEvent,addActivity,editActivity,deleteActivity,addProject,editProject,deleteProject,addExecutive,editExecutive,deleteExecutive,uploadImages,editImages,deleteImages,addSponsor,editSponsor,deleteSponsor,addVideo,editVideo,deleteVideo,browseContactMessages,readContactMessage,replyToContactMessage};Interface, <<generated_interface>>;enter description here;SG_env;
deleteProject;Phenomenon, <<Phenomenon>>;enter description here;SG_env, pdProjectManagement;
SGW!{addProject,editProject,deleteProject,browseProjects,viewProject}SGP!{showProjectFeedback,showProjectsView,showProjectView};Association, <<connection>>;enter description here;pdProjectManagement;
R09;Class, <<Requirement>>;Admin can add projects.;Requirements;
browseSponsors;Phenomenon, <<Phenomenon>>;enter description here;SG_env;
SG_Events;Class, <<Machine>>;enter description here;pdEventManagement;
project;Phenomenon, <<Phenomenon>>;enter description here;SG_env;
addSponsor;Phenomenon, <<Phenomenon>>;enter description here;SG_env;
M!{messages,message};Interface, <<generated_interface>>;enter description here;SG_env;
projects;Phenomenon, <<Phenomenon>>;enter description here;SG_env;
